ID,class,p_x,p_y,p_z,n_x,n_y,n_z,size,time
0,cir_10,1.060364726,1.493764579,-0.617503871,-0.115748683,-0.059179746,0,0.15,1697337619.38361
1,cir_40,-25.66000206,15.133025828,-0.0032807854,0.998508415,0.054598028,-0.002989099,0.15,1709800334.89157
2,cir_70,-23.48569,7.1761,-0.083458,-0.0391350609,0.9920240491,0,0.15,1709800346.09779
3,cir_60,-24.908752922,1.454742,-0.358307,0.0472706,0.993344,-0.010802055,0.15,1709800360.16986
4,cir_20,1.082964,-5.973677,0.150432,-0.9969197,-0.021239,0.108217,0.15,1709800405.8237
5,cir_80,1.700645214,12.444357897,-0.0298367492,0.009275126,-0.999877424,-0.012613812,0.15,1709800287.33886
6,cir_30,-1.142487852,5.019388168,-0.167401409,-0.01529098978,-0.9948560117,0,0.15,1709800274.06521
7,tri_50,1.377524,5.012169,0.315332,0.019764598,-0.999804661,0,0.3,1709801396.7536
8,tri_60,-1.095723901,5.026844288,0.351715891,-0.099176545,-0.995069853,0,0.3,1709801397.95412
9,tri_30,1.598154,12.458733,0.290701,-0.033011182,-0.999454982,0,0.3,1709801408.06049
10,tri_70,-23.481735,7.220431033,0.366476,0.012754738,0.999362285,0,0.3,1709801454.48019
11,tri_90,-24.865818,1.432143,0.11151,0.009187725,0.999957792,0,0.3,1709801461.78296
12,tri_80,-9.99632,-4.591786,-0.654789,-0.166478,-0.986039,0,0.3,1709801500.16492
13,tri_40,1.203971015,-5.357057581,0.263799,-0.9969197,-0.0221239,0,0.3,1709800405.8237
14,rect_90,1.50470309,5.026844288,-0.082050463,-0.0134003451,-0.9990980865,0,0.3,1709800277.06816
15,rect_50,-0.864379906,12.474646841,0.262248705,0.08076285,-0.996733345,0,0.3,1709800285.77235
16,rect_40,-0.88110865,12.460973077,-0.207769419,0.145206665,-0.989401346,0,0.3,1709800285.77235
17,rect_60,-11.403192,13.483146,0.02076,-0.123361058,0.992361854,0,0.3,1709800332.6906
18,rect_10,-25.66000206,15.133025828,0.369459,0.998508415,0.054598028,-0.002989099,0.3,1709800334.89157
19,rect_20,-25.839164357,7.220431033,-0.027357158,0.079927231,0.996800701,0,0.3,1709800344.06409
20,rect_70,-24.198668,1.402143,-0.068109,-0.106893,0.994251,0.006262,0.3,1709800352.96836
21,rect_80,1.203971015,-5.357057581,-0.210649047,-0.9969197,-0.0245955816,0,0.3,1709800406.89056
22,rect_30,-13.306855,-9.048225,0.198227,-0.99903,-0.043181,-0.008177,0.3,1709800346.09779
23,cir_90,-25.839164357,7.220431033,0.38242,0.079927231,0.996800701,0,0.15,1709800405.8237
24,tri_10,-25.66000206,13.133025828,0.169459,0.998508415,0.054598028,-0.002989099,0.3,1709800334.89157
